Season,MatchDate,HomeTeam,AwayTeam,FullTimeResult,home_win_rate_5,home_draw_rate_5,home_loss_rate_5,home_goals_scored_avg_5,home_goals_conceded_avg_5,home_goal_diff_avg_5,home_points_per_game_5,home_win_rate_10,home_draw_rate_10,home_loss_rate_10,home_goals_scored_avg_10,home_goals_conceded_avg_10,home_goal_diff_avg_10,home_points_per_game_10,home_venue_win_rate_5,home_venue_draw_rate_5,home_venue_loss_rate_5,home_venue_goals_scored_avg_5,home_venue_goals_conceded_avg_5,home_venue_goal_diff_avg_5,home_venue_points_per_game_5,home_venue_win_rate_10,home_venue_draw_rate_10,home_venue_loss_rate_10,home_venue_goals_scored_avg_10,home_venue_goals_conceded_avg_10,home_venue_goal_diff_avg_10,home_venue_points_per_game_10,away_win_rate_5,away_draw_rate_5,away_loss_rate_5,away_goals_scored_avg_5,away_goals_conceded_avg_5,away_goal_diff_avg_5,away_points_per_game_5,away_win_rate_10,away_draw_rate_10,away_loss_rate_10,away_goals_scored_avg_10,away_goals_conceded_avg_10,away_goal_diff_avg_10,away_points_per_game_10,away_venue_win_rate_5,away_venue_draw_rate_5,away_venue_loss_rate_5,away_venue_goals_scored_avg_5,away_venue_goals_conceded_avg_5,away_venue_goal_diff_avg_5,away_venue_points_per_game_5,away_venue_win_rate_10,away_venue_draw_rate_10,away_venue_loss_rate_10,away_venue_goals_scored_avg_10,away_venue_goals_conceded_avg_10,away_venue_goal_diff_avg_10,away_venue_points_per_game_10,h2h_home_wins,h2h_draws,h2h_away_wins,h2h_matches,home_elo,away_elo,elo_diff,elo_exp_home,target
2000/01,2000-12-30,Middlesbrough,Coventry,D,0.4,0.2,0.4,0.4,0.4,0.0,1.4,0.2,0.2,0.6,0.6,1.2,-0.6,0.8,0.4,0.2,0.4,0.8,1.2,-0.4,1.4,0.2,0.3,0.5,0.9,1.5,-0.6,0.9,0.4,0.2,0.4,1.0,1.0,0.0,1.4,0.2,0.2,0.6,0.8,1.4,-0.6,0.8,0.2,0.0,0.8,0.8,1.8,-1.0,0.6,0.3,0.1,0.6,1.2,2.1,-0.9,1.0,1.0,0.0,0.0,1,1444.886228853385,1438.2219490674213,6.664279785963799,0.6488547548314803,1
2000/01,2000-12-30,Newcastle,Man United,D,0.4,0.2,0.4,1.0,2.0,-1.0,1.4,0.4,0.2,0.4,1.1,1.6,-0.5,1.4,0.8,0.0,0.2,1.8,1.2,0.6,2.4,0.6,0.1,0.3,1.4,1.0,0.4,1.9,0.6,0.2,0.2,1.6,0.8,0.8,2.0,0.8,0.1,0.1,2.1,0.6,1.5,2.5,0.8,0.2,0.0,2.0,0.8,1.2,2.6,0.6,0.3,0.1,1.9,0.9,1.0,2.1,0.0,0.0,1.0,1,1508.5521115429851,1632.1236853323064,-123.57157378932129,0.46612972934456964,1
2000/01,2000-12-30,Man City,Charlton,A,0.2,0.4,0.4,1.6,1.0,0.6,1.0,0.1,0.2,0.7,1.1,1.9,-0.8,0.5,0.2,0.2,0.6,1.4,1.0,0.4,0.8,0.3,0.2,0.5,1.5,1.1,0.4,1.1,0.2,0.2,0.6,1.0,2.8,-1.8,0.8,0.3,0.1,0.6,1.0,1.9,-0.9,1.0,0.0,0.0,1.0,0.4,3.0,-2.6,0.0,0.1,0.1,0.8,0.9,2.8,-1.9,0.4,0.0,0.0,1.0,1,1436.0013575510852,1475.2901906170391,-39.288833065953895,0.586491855326125,2
2000/01,2000-12-30,Arsenal,Sunderland,D,0.6,0.2,0.2,2.6,1.2,1.4,2.0,0.5,0.2,0.3,1.9,0.9,1.0,1.7,0.8,0.2,0.0,3.4,0.2,3.2,2.6,0.9,0.1,0.0,2.8,0.5,2.3,2.8,0.8,0.0,0.2,1.6,0.6,1.0,2.4,0.7,0.1,0.2,1.5,0.8,0.7,2.2,0.6,0.0,0.4,1.6,1.2,0.4,1.8,0.3,0.2,0.5,1.1,1.5,-0.4,1.1,0.0,0.0,1.0,1,1572.9626688293502,1562.6795626724254,10.28310615692476,0.6535862397023874,1
2000/01,2000-12-30,Ipswich,Tottenham,H,0.4,0.2,0.4,1.2,1.2,0.0,1.4,0.6,0.1,0.3,1.5,1.1,0.4,1.9,0.6,0.2,0.2,1.8,1.0,0.8,2.0,0.4,0.4,0.2,1.4,1.0,0.4,1.6,0.0,0.6,0.4,0.8,1.6,-0.8,0.6,0.3,0.3,0.4,1.1,1.5,-0.4,1.2,0.0,0.2,0.8,0.6,2.4,-1.8,0.2,0.0,0.2,0.8,0.8,2.2,-1.4,0.2,0.0,0.0,1.0,1,1546.365002162188,1483.7123686039774,62.65263355821048,0.7183524427036706,0
2000/01,2001-01-01,Charlton,Arsenal,H,0.4,0.2,0.4,1.8,2.4,-0.6,1.4,0.4,0.1,0.5,1.3,1.8,-0.5,1.3,0.6,0.2,0.2,1.6,0.8,0.8,2.0,0.6,0.3,0.1,1.7,0.7,1.0,2.1,0.4,0.4,0.2,2.8,1.6,1.2,1.6,0.4,0.3,0.3,1.6,1.1,0.5,1.5,0.2,0.2,0.6,0.4,1.6,-1.2,0.8,0.2,0.4,0.4,0.8,1.4,-0.6,1.0,0.0,0.0,1.0,1,1494.057929987475,1568.0479091588738,-73.98997917139877,0.5373616578075395,0
2000/01,2001-01-01,Chelsea,Aston Villa,H,0.6,0.2,0.2,2.2,1.0,1.2,2.0,0.4,0.2,0.4,1.8,1.3,0.5,1.4,0.8,0.2,0.0,2.6,0.6,2.0,2.6,0.7,0.2,0.1,2.8,1.0,1.8,2.3,0.2,0.6,0.2,1.2,1.2,0.0,1.2,0.4,0.4,0.2,1.2,1.0,0.2,1.6,0.4,0.4,0.2,1.0,1.0,0.0,1.6,0.3,0.4,0.3,0.9,1.1,-0.2,1.3,0.0,1.0,0.0,1,1495.9177545323485,1531.6978604554347,-35.78010592308624,0.5913815144085613,0
2000/01,2001-01-01,Coventry,Man City,D,0.4,0.4,0.2,1.0,0.8,0.2,1.6,0.2,0.3,0.5,0.9,1.4,-0.5,0.9,0.2,0.4,0.4,0.8,1.0,-0.2,1.0,0.2,0.3,0.5,0.7,1.4,-0.7,0.9,0.2,0.4,0.4,1.6,1.4,0.2,1.0,0.1,0.2,0.7,1.2,1.8,-0.6,0.5,0.0,0.2,0.8,0.8,2.8,-2.0,0.2,0.2,0.2,0.6,1.0,2.2,-1.2,0.8,1.0,0.0,0.0,1,1442.9853012220287,1417.2336181806493,25.751683041379465,0.6734619191276339,1
2000/01,2001-01-01,Derby,Everton,H,0.4,0.2,0.4,0.8,1.0,-0.2,1.4,0.4,0.3,0.3,0.7,0.8,-0.1,1.5,0.6,0.2,0.2,1.0,0.6,0.4,2.0,0.3,0.5,0.2,1.3,1.5,-0.2,1.4,0.0,0.2,0.8,0.4,2.2,-1.8,0.2,0.3,0.1,0.6,0.8,1.6,-0.8,1.0,0.2,0.0,0.8,0.4,2.2,-1.8,0.6,0.3,0.1,0.6,0.8,1.8,-1.0,1.0,0.0,1.0,0.0,1,1459.0803872660792,1447.7493337407955,11.331053525283778,0.654950790471293,0
2000/01,2001-01-01,Leeds,Middlesbrough,D,0.2,0.0,0.8,1.0,1.6,-0.6,0.6,0.3,0.2,0.5,1.2,1.4,-0.2,1.1,0.6,0.0,0.4,1.6,1.2,0.4,1.8,0.6,0.0,0.4,1.9,1.4,0.5,1.8,0.4,0.4,0.2,0.6,0.4,0.2,1.6,0.2,0.3,0.5,0.6,1.1,-0.5,0.9,0.0,0.2,0.8,0.4,1.2,-0.8,0.2,0.2,0.3,0.5,1.2,1.3,-0.1,0.9,1.0,0.0,0.0,1,1478.5456523170967,1440.1228766987776,38.422775618319065,0.6892950261300955,1
2000/01,2001-01-01,Leicester,Bradford,A,0.6,0.0,0.4,1.8,2.0,-0.2,1.8,0.6,0.1,0.3,1.6,1.5,0.1,1.9,0.8,0.2,0.0,2.2,1.0,1.2,2.6,0.6,0.3,0.1,1.5,1.0,0.5,2.1,0.2,0.2,0.6,1.4,2.6,-1.2,0.8,0.1,0.3,0.6,1.0,2.1,-1.1,0.6,0.0,0.2,0.8,0.6,2.2,-1.6,0.2,0.0,0.2,0.8,0.4,2.3,-1.9,0.2,0.0,1.0,0.0,1,1544.9089749515965,1379.6204267759779,165.28854817561864,0.8215850786958366,2
2000/01,2001-01-01,Liverpool,Southampton,H,0.6,0.0,0.4,1.6,0.4,1.2,1.8,0.5,0.0,0.5,2.0,1.2,0.8,1.5,0.8,0.0,0.2,2.8,0.6,2.2,2.4,0.8,0.1,0.1,2.3,0.7,1.6,2.5,0.6,0.2,0.2,1.2,0.8,0.4,2.0,0.5,0.2,0.3,1.5,1.2,0.3,1.7,0.0,0.4,0.6,0.8,2.4,-1.6,0.4,0.1,0.5,0.4,0.9,1.7,-0.8,0.8,0.0,1.0,0.0,1,1527.6140047746555,1497.912401233232,29.701603541423538,0.6784423023571636,0
2000/01,2001-01-01,Man United,West Ham,H,0.4,0.4,0.2,1.4,1.0,0.4,1.6,0.7,0.2,0.1,1.7,0.7,1.0,2.3,0.8,0.0,0.2,2.2,0.4,1.8,2.4,0.8,0.1,0.1,2.8,0.5,2.3,2.5,0.4,0.4,0.2,1.8,0.8,1.0,1.6,0.6,0.3,0.1,1.8,0.7,1.1,2.1,0.4,0.4,0.2,1.2,1.0,0.2,1.6,0.3,0.4,0.3,1.3,1.2,0.1,1.3,0.0,1.0,0.0,1,1631.0398366713328,1536.1580787206203,94.88175795071243,0.7543279264520106,0
2000/01,2001-01-01,Sunderland,Ipswich,H,0.6,0.2,0.2,1.6,1.0,0.6,2.0,0.6,0.2,0.2,1.6,1.0,0.6,2.0,0.8,0.2,0.0,1.4,0.4,1.0,2.6,0.7,0.3,0.0,1.2,0.4,0.8,2.4,0.6,0.2,0.2,1.8,1.0,0.8,2.0,0.6,0.1,0.3,1.6,1.0,0.6,1.9,0.6,0.0,0.4,1.2,1.2,0.0,1.8,0.6,0.0,0.4,1.5,1.2,0.3,1.8,0.0,0.0,1.0,1,1567.5943223429017,1555.3777239956705,12.216598347231184,0.656101887966248,0
2000/01,2001-01-02,Tottenham,Newcastle,H,0.0,0.6,0.4,0.8,1.8,-1.0,0.6,0.3,0.3,0.4,1.1,1.5,-0.4,1.2,0.6,0.4,0.0,1.6,0.6,1.0,2.2,0.7,0.3,0.0,1.8,0.7,1.1,2.4,0.4,0.2,0.4,1.0,2.0,-1.0,1.4,0.4,0.3,0.3,1.2,1.6,-0.4,1.5,0.0,0.4,0.6,0.4,2.0,-1.6,0.4,0.3,0.2,0.5,0.8,1.5,-0.7,1.1,0.0,0.0,1.0,1,1474.6996467704948,1509.6359602039588,-34.936313433463965,0.592554745408176,0
2000/01,2001-01-13,Newcastle,Coventry,H,0.4,0.2,0.4,1.4,1.8,-0.4,1.4,0.3,0.3,0.4,1.2,1.9,-0.7,1.2,0.6,0.2,0.2,1.6,1.2,0.4,2.0,0.5,0.2,0.3,1.2,0.9,0.3,1.7,0.2,0.6,0.2,1.0,1.0,0.0,1.2,0.2,0.4,0.4,0.9,1.3,-0.4,1.0,0.2,0.2,0.6,1.0,1.8,-0.8,0.8,0.2,0.2,0.6,1.1,2.1,-1.0,0.8,1.0,0.0,0.0,1,1496.5977120570205,1437.4345198099445,59.16319224707604,0.7142706635743037,0
2000/01,2001-01-13,West Ham,Sunderland,A,0.2,0.4,0.4,1.8,1.4,0.4,1.0,0.5,0.3,0.2,1.8,1.0,0.8,1.8,0.8,0.2,0.0,2.4,0.4,2.0,2.6,0.4,0.4,0.2,1.7,0.9,0.8,1.6,0.6,0.2,0.2,2.2,1.2,1.0,2.0,0.7,0.2,0.1,1.9,0.9,1.0,2.3,0.6,0.2,0.2,1.8,1.2,0.6,2.0,0.3,0.3,0.4,1.1,1.3,-0.2,1.2,0.0,1.0,0.0,1,1528.2965723670848,1578.5990619279817,-50.3024895608969,0.5710366396011448,2
2000/01,2001-01-13,Southampton,Charlton,D,0.4,0.2,0.4,1.2,1.2,0.0,1.4,0.4,0.2,0.4,1.3,1.2,0.1,1.4,0.8,0.0,0.2,1.6,0.6,1.0,2.4,0.6,0.1,0.3,1.7,1.3,0.4,1.9,0.6,0.0,0.4,1.4,1.8,-0.4,1.8,0.4,0.1,0.5,1.2,1.8,-0.6,1.3,0.2,0.0,0.8,1.0,2.8,-1.8,0.6,0.2,0.1,0.7,1.3,2.6,-1.3,0.7,0.0,1.0,0.0,1,1487.6225549086612,1508.8623569376339,-21.23980202897269,0.6114425923695399,1
2000/01,2001-01-13,Middlesbrough,Derby,H,0.4,0.6,0.0,0.8,0.4,0.4,1.8,0.2,0.4,0.4,0.7,1.1,-0.4,1.0,0.4,0.4,0.2,1.0,1.2,-0.2,1.6,0.2,0.3,0.5,0.9,1.5,-0.6,0.9,0.6,0.2,0.2,0.8,0.2,0.6,2.0,0.5,0.2,0.3,0.8,0.8,0.0,1.7,0.2,0.4,0.4,0.4,1.0,-0.6,1.0,0.1,0.3,0.6,0.8,1.8,-1.0,0.6,0.0,1.0,0.0,1,1446.1803175349407,1470.121961970998,-23.94164443605723,0.6077411480014474,0
2000/01,2001-01-13,Arsenal,Chelsea,D,0.2,0.4,0.4,1.8,1.8,0.0,1.0,0.3,0.3,0.4,1.5,1.2,0.3,1.2,0.6,0.4,0.0,2.8,0.6,2.2,2.2,0.8,0.2,0.0,2.8,0.7,2.1,2.6,0.6,0.2,0.2,2.0,0.8,1.2,2.0,0.4,0.2,0.4,1.6,1.3,0.3,1.4,0.0,0.2,0.8,1.0,2.0,-1.0,0.2,0.0,0.4,0.6,0.9,1.7,-0.8,0.4,0.0,1.0,0.0,1,1553.243482208715,1508.9935460712745,44.2499361374405,0.6964330279424412,1
2000/01,2001-01-13,Everton,Tottenham,D,0.0,0.2,0.8,0.4,2.0,-1.6,0.2,0.3,0.1,0.6,0.7,1.4,-0.7,1.0,0.4,0.2,0.4,1.2,1.0,0.2,1.4,0.3,0.3,0.4,1.3,1.4,-0.1,1.2,0.2,0.4,0.4,1.0,1.6,-0.6,1.0,0.3,0.3,0.4,1.3,1.6,-0.3,1.2,0.0,0.2,0.8,0.6,2.4,-1.8,0.2,0.0,0.1,0.9,0.7,2.4,-1.7,0.1,0.0,0.0,1.0,1,1436.7077590358767,1487.737894917433,-51.03013588155636,0.5700103053637997,1
2000/01,2001-01-13,Bradford,Man United,A,0.2,0.2,0.6,1.4,2.6,-1.2,0.8,0.2,0.2,0.6,1.1,2.1,-1.0,0.8,0.2,0.4,0.4,1.4,2.0,-0.6,1.0,0.2,0.4,0.4,1.0,1.4,-0.4,1.0,0.6,0.2,0.2,1.4,0.6,0.8,2.0,0.7,0.2,0.1,1.8,0.7,1.1,2.3,0.6,0.4,0.0,1.8,0.8,1.0,2.2,0.6,0.3,0.1,1.9,0.9,1.0,2.1,0.0,0.0,1.0,1,1405.9111492942448,1638.9013430248683,-232.99019373062356,0.31744184543818926,2
2000/01,2001-01-13,Aston Villa,Liverpool,A,0.2,0.4,0.4,1.0,1.2,-0.2,1.0,0.3,0.4,0.3,1.0,1.0,0.0,1.3,0.4,0.4,0.2,1.4,1.0,0.4,1.6,0.4444444444444444,0.4444444444444444,0.1111111111111111,1.5555555555555556,0.7777777777777778,0.7777777777777778,1.7777777777777777,0.6,0.0,0.4,1.4,0.6,0.8,1.8,0.5,0.0,0.5,1.9,1.2,0.7,1.5,0.2,0.0,0.8,1.2,1.8,-0.6,0.6,0.2,0.2,0.6,1.4,1.8,-0.4,0.8,0.0,0.0,1.0,1,1518.6220689165086,1537.9038510992264,-19.281782182717734,0.6141170387855,2
2000/01,2001-01-13,Man City,Leeds,A,0.0,0.6,0.4,0.8,1.6,-0.8,0.6,0.1,0.3,0.6,1.3,1.8,-0.5,0.6,0.2,0.2,0.6,1.6,1.6,0.0,0.8,0.2,0.2,0.6,1.2,1.3,-0.1,0.8,0.2,0.2,0.6,1.0,1.2,-0.2,0.8,0.3,0.2,0.5,1.2,1.4,-0.2,1.1,0.0,0.4,0.6,0.8,1.6,-0.8,0.4,0.1111111111111111,0.4444444444444444,0.4444444444444444,0.7777777777777778,1.4444444444444444,-0.6666666666666666,0.7777777777777778,1.0,0.0,0.0,1,1422.7843995927335,1472.4882114809336,-49.70381188820011,0.5718806080204999,2
2000/01,2001-01-14,Ipswich,Leicester,H,0.4,0.2,0.4,1.8,1.8,0.0,1.4,0.6,0.1,0.3,1.6,1.2,0.4,1.9,0.6,0.2,0.2,2.0,0.8,1.2,2.0,0.5,0.3,0.2,1.6,0.9,0.7,1.8,0.4,0.0,0.6,1.4,2.2,-0.8,1.2,0.5,0.1,0.4,1.5,1.6,-0.1,1.6,0.4,0.0,0.6,1.0,2.0,-1.0,1.2,0.4,0.2,0.4,0.8,1.1,-0.3,1.4,0.0,0.0,1.0,1,1544.3729844105906,1518.6182524333296,25.754731977260917,0.673465778792051,0
2000/01,2001-01-20,Tottenham,Southampton,D,0.2,0.4,0.4,0.8,1.4,-0.6,1.0,0.3,0.4,0.3,1.3,1.4,-0.1,1.3,0.6,0.4,0.0,2.0,0.8,1.2,2.2,0.7,0.3,0.0,1.9,0.8,1.1,2.4,0.4,0.4,0.2,1.0,0.6,0.4,1.6,0.4,0.2,0.4,1.1,1.0,0.1,1.4,0.0,0.4,0.6,1.0,1.8,-0.8,0.4,0.1,0.4,0.5,0.8,1.7,-0.9,0.7,0.0,0.0,1.0,1,1489.9782246890748,1484.0563919528358,5.921832736238912,0.6478803684955294,1
2000/01,2001-01-20,Man United,Aston Villa,H,0.8,0.2,0.0,2.0,0.4,1.6,2.6,0.7,0.2,0.1,1.9,0.6,1.3,2.3,0.8,0.0,0.2,1.8,0.6,1.2,2.4,0.8,0.1,0.1,2.9,0.6,2.3,2.5,0.2,0.2,0.6,0.8,1.6,-0.8,0.8,0.2,0.4,0.4,0.9,1.3,-0.4,1.0,0.2,0.4,0.4,0.8,1.2,-0.4,1.0,0.3,0.3,0.4,0.9,1.2,-0.3,1.2,1.0,0.0,0.0,1,1649.0594820788904,1498.9703236753726,150.08915840351779,0.8083971810204875,0
2000/01,2001-01-20,Liverpool,Middlesbrough,D,0.8,0.0,0.2,2.0,0.4,1.6,2.4,0.6,0.0,0.4,1.9,0.8,1.1,1.8,0.8,0.0,0.2,2.6,0.6,2.0,2.4,0.8,0.1,0.1,2.4,0.8,1.6,2.5,0.4,0.6,0.0,1.4,0.4,1.0,1.8,0.3,0.4,0.3,1.0,0.9,0.1,1.3,0.0,0.4,0.6,0.4,1.0,-0.6,0.4,0.1,0.4,0.5,1.0,1.3,-0.3,0.7,0.0,0.0,1.0,1,1557.5555963403624,1458.7326007988945,98.82299554146789,0.7585080301467108,1
